"STATION","DATE","DP01","DP01_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00080478","1991","       120","0","       112","0","3.10"," ,0,0713, ","55.92"," ,0","83.9","0","64.8","0"
"USC00080478","1992","       107","0","       100","0","3.33"," ,0,0810, ","50.49"," ,0","82.7","0","63.4","0"
"USC00080478","1993","        98","0","       103","0","3.18"," ,0,0727, ","48.54"," ,0","82.7","0","62.9","0"
"USC00080478","1994",,,,,,,,,,,,
"USC00080478","1995","       113","0","       122","0","3.45"," ,0,0912, ","60.33"," ,0","83.3","0","64.0","0"
"USC00080478","1996","        99","0","       108","0","3.18"," ,0,0101, ","46.11"," ,0","82.8","0","62.3","0"
"USC00080478","1997","       122","0","       115","0","3.75"," ,0,1213, ","60.23"," ,0","84.1","0","64.1","0"
"USC00080478","1998","        97","0","       123","0","5.80"," ,0,0919, ","62.34"," ,0","84.5","0","65.4","0"
"USC00080478","1999","       100","0","       113","0","2.93"," ,0,0429, ","42.30"," ,0","84.1","0","63.5","0"
"USC00080478","2000","        80","0","       115","0","2.61"," ,0,0917, ","35.88"," ,0","84.0","0","62.1","0"
"USC00080478","2001","       103","0","       111","0","4.70"," ,0,0330, ","49.57"," ,0","84.2","0","63.4","0"
"USC00080478","2002",,,"       134","0",,,,,"84.5","0","63.8","0"
"USC00080478","2003",,,"       110","0",,,"63.84"," ,0","83.8","0","63.6","0"
"USC00080478","2004","        84","0",,,"6.25"," ,0,0926, ","60.33"," ,0",,,,
"USC00080478","2005","       108","0",,,"4.20"," ,0,1024, ","65.05"," ,0",,,,
"USC00080478","2006","        77","0",,,"3.50"," ,0,0516, ","37.51"," ,0",,,,
"USC00080478","2007","        80","0",,,"2.72"," ,0,1006,+","34.70"," ,0",,,,
"USC00080478","2008",,,,,,,"40.59"," ,0",,,,
"USC00080478","2009","        95","0",,,"3.70"," ,0,0903, ","51.78"," ,0",,,,
"USC00080478","2010",,,,,,,"42.68"," ,0",,,,
"USC00080478","2011",,,,,,,,,,,,
"USC00080478","2012",,,"       115","7",,,,,"84.3","7","64.8","7"
"USC00080478","2014","        70","7","       145","7","2.30"," ,7,0907,+","47.33"," ,7","85.2","7",,
"USC00080478","2016",,,"       128","7",,,,,"84.6","7","63.2","7"
"USC00080478","2017",,,"       134","7",,,,,"85.3","7","63.4","7"
"USC00080478","2018",,,"       127","7",,,,,"84.4","7","62.9","7"
"USC00080478","2019",,,"       131","7",,,,,"84.9","7","64.2","7"
"USC00080478","2020","       134","7","       139","7","2.39"," ,7,0620, ","59.27"," ,7","85.0","7","64.2","7"
"USC00080478","2021",,,"       125","7",,,,,"84.7","7","63.4","7"
"US1FLPK0073","2021","       121","N",,,"3.21"," ,N,1106,+","53.94"," ,N",,,,
"USC00084802","1996","       116","0","       121","0","2.14"," ,0,0102, ","52.88"," ,0","83.4","0","62.1","0"
"USC00084802","1997","       124","0","       103","0","3.69"," ,0,1227, ","58.17"," ,0","83.9","0","62.8","0"
