"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2021","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS, ORGANIC - ACRES HARVESTED","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","4","(H)"
"CENSUS","2021","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS, ORGANIC - OPERATIONS WITH AREA HARVESTED","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","6","70.8"
"CENSUS","2021","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","6","70.8"
"CENSUS","2021","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS, ORGANIC - PRODUCTION, MEASURED IN TONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","17","(H)"
"CENSUS","2021","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS, ORGANIC - SALES, MEASURED IN TONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","17","(H)"
"CENSUS","2021","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","(H)"
"CENSUS","2021","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS, ORGANIC, FRESH MARKET - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS, ORGANIC, FRESH MARKET - SALES, MEASURED IN TONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS, ORGANIC, PROCESSING - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","4","92.1"
"CENSUS","2021","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS, ORGANIC, PROCESSING - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2021","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS, ORGANIC, PROCESSING - SALES, MEASURED IN TONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS, ORGANIC - ACRES HARVESTED","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","155","74.6"
"CENSUS","2019","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS, ORGANIC - OPERATIONS WITH AREA HARVESTED","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","10","46.7"
"CENSUS","2019","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","10","46.7"
"CENSUS","2019","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS, ORGANIC - PRODUCTION, MEASURED IN TONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","658","68.1"
"CENSUS","2019","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","415,500","76.5"
"CENSUS","2019","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS, ORGANIC - SALES, MEASURED IN TONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","658","68.1"
"CENSUS","2019","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","4","64.7"
"CENSUS","2019","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS, ORGANIC, FRESH MARKET - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","5,564","89.3"
"CENSUS","2019","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS, ORGANIC, FRESH MARKET - SALES, MEASURED IN TONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1","93.9"
"CENSUS","2019","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS, ORGANIC, PROCESSING - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","6","73.6"
"CENSUS","2019","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS, ORGANIC, PROCESSING - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","409,936","95.0"
"CENSUS","2019","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS, ORGANIC, PROCESSING - SALES, MEASURED IN TONS","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","656","81.4"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS - ACRES BEARING & NON-BEARING","AREA BEARING & NON-BEARING","AREA BEARING & NON-BEARING: (0.1 TO 0.9 ACRES)","130","30.2"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS - ACRES BEARING & NON-BEARING","AREA BEARING & NON-BEARING","AREA BEARING & NON-BEARING: (1,000 OR MORE ACRES)","295,653","4.9"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS - ACRES BEARING & NON-BEARING","AREA BEARING & NON-BEARING","AREA BEARING & NON-BEARING: (1.0 TO 4.9 ACRES)","1,092","30.9"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS - ACRES BEARING & NON-BEARING","AREA BEARING & NON-BEARING","AREA BEARING & NON-BEARING: (100 TO 249 ACRES)","46,763","15.4"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS - ACRES BEARING & NON-BEARING","AREA BEARING & NON-BEARING","AREA BEARING & NON-BEARING: (15.0 TO 24.9 ACRES)","5,224","10.1"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS - ACRES BEARING & NON-BEARING","AREA BEARING & NON-BEARING","AREA BEARING & NON-BEARING: (25.0 TO 49.9 ACRES)","12,753","15.0"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS - ACRES BEARING & NON-BEARING","AREA BEARING & NON-BEARING","AREA BEARING & NON-BEARING: (250 TO 499 ACRES)","35,862","3.4"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS - ACRES BEARING & NON-BEARING","AREA BEARING & NON-BEARING","AREA BEARING & NON-BEARING: (5.0 TO 14.9 ACRES)","4,844","18.3"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS - ACRES BEARING & NON-BEARING","AREA BEARING & NON-BEARING","AREA BEARING & NON-BEARING: (50.0 TO 99.9 ACRES)","26,905","26.3"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS - ACRES BEARING & NON-BEARING","AREA BEARING & NON-BEARING","AREA BEARING & NON-BEARING: (500 TO 749 ACRES)","25,412","7.9"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS - ACRES BEARING & NON-BEARING","AREA BEARING & NON-BEARING","AREA BEARING & NON-BEARING: (750 TO 999 ACRES)","19,902","0.7"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS - ACRES BEARING & NON-BEARING","AREA OPERATED","AREA OPERATED: (1,000 TO 1,999 ACRES)","49,555","5.4"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS - ACRES BEARING & NON-BEARING","AREA OPERATED","AREA OPERATED: (1.0 TO 9.9 ACRES)","1,714","19.2"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS - ACRES BEARING & NON-BEARING","AREA OPERATED","AREA OPERATED: (10.0 TO 49.9 ACRES)","14,960","7.9"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS - ACRES BEARING & NON-BEARING","AREA OPERATED","AREA OPERATED: (100 TO 139 ACRES)","12,163","49.0"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS - ACRES BEARING & NON-BEARING","AREA OPERATED","AREA OPERATED: (140 TO 179 ACRES)","12,713","31.1"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS - ACRES BEARING & NON-BEARING","AREA OPERATED","AREA OPERATED: (180 TO 219 ACRES)","8,489","23.1"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS - ACRES BEARING & NON-BEARING","AREA OPERATED","AREA OPERATED: (2,000 OR MORE ACRES)","284,790","5.0"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS - ACRES BEARING & NON-BEARING","AREA OPERATED","AREA OPERATED: (220 TO 259 ACRES)","7,298","35.8"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS - ACRES BEARING & NON-BEARING","AREA OPERATED","AREA OPERATED: (260 TO 499 ACRES)","28,966","5.1"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS - ACRES BEARING & NON-BEARING","AREA OPERATED","AREA OPERATED: (50.0 TO 69.9 ACRES)","7,798","24.7"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS - ACRES BEARING & NON-BEARING","AREA OPERATED","AREA OPERATED: (500 TO 999 ACRES)","33,438","8.8"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS - ACRES BEARING & NON-BEARING","AREA OPERATED","AREA OPERATED: (70.0 TO 99.9 ACRES)","12,657","29.1"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS - ACRES BEARING & NON-BEARING","ECONOMIC CLASS","ECONOMIC CLASS: (1,000 TO 2,499 $)","316","7.6"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS - ACRES BEARING & NON-BEARING","ECONOMIC CLASS","ECONOMIC CLASS: (1,000,000 OR MORE $)","336,914","4.0"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS - ACRES BEARING & NON-BEARING","ECONOMIC CLASS","ECONOMIC CLASS: (10,000 TO 24,999 $)","6,026","16.9"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS - ACRES BEARING & NON-BEARING","ECONOMIC CLASS","ECONOMIC CLASS: (100,000 TO 249,999 $)","34,100","22.9"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS - ACRES BEARING & NON-BEARING","ECONOMIC CLASS","ECONOMIC CLASS: (2,500 TO 4,999 $)","696","27.9"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS - ACRES BEARING & NON-BEARING","ECONOMIC CLASS","ECONOMIC CLASS: (25,000 TO 49,999 $)","9,118","20.0"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS - ACRES BEARING & NON-BEARING","ECONOMIC CLASS","ECONOMIC CLASS: (250,000 TO 499,999 $)","31,833","8.3"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS - ACRES BEARING & NON-BEARING","ECONOMIC CLASS","ECONOMIC CLASS: (5,000 TO 9,999 $)","1,011","17.7"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS - ACRES BEARING & NON-BEARING","ECONOMIC CLASS","ECONOMIC CLASS: (50,000 TO 99,999 $)","12,272","21.3"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS - ACRES BEARING & NON-BEARING","ECONOMIC CLASS","ECONOMIC CLASS: (500,000 TO 999,999 $)","40,162","10.2"
"CENSUS","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CITRUS TOTALS","CITRUS TOTALS - ACRES BEARING & NON-BEARING","ECONOMIC CLASS","ECONOMIC CLASS: (LESS THAN 1,000 $)","2,093","22.3"
